Forecast_ID,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Category,Requirement_Title,Estimated_Value,Priority_Level,Status,Contract_Type,Anticipated_Set_Aside,Recompete,Incumbent_Contractor,Planned_Award_Quarter,Predicted_Days_to_Award,Predicted_Award_Amount,Predicted_Protest_Probability,Oversight_Probability,Composite_Risk_Score
FCST-000548,2027,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 8,Professional Services,Professional Services Requirement - VISN 11 Medical Center Main FY2027,105164.0,Medium,Market Research,IDIQ,Full and Open (No Set-Aside),No,,FY Q4,95.0,105790.0,0.321,0.022,31.8
FCST-000549,2028,14,VISN 14 Medical Center North,Network Contracting Office (NCO) 15,Pharmaceuticals,Pharmaceuticals Requirement - VISN 14 Medical Center North FY2028,292625.38,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Apex Systems,FY Q2,98.0,323278.0,0.274,0.078,37.3
FCST-000550,2026,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 11,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 10 Medical Center North FY2026,82812.78,Medium,Solicitation Released,Labor Hour,Small Business,Yes,Beacon Associates,FY Q2,80.0,84094.0,0.373,0.0,24.2
FCST-000551,2026,17,VISN 17 Medical Center West,Network Contracting Office (NCO) 13,Construction,Construction Requirement - VISN 17 Medical Center West FY2026,2777914.61,High,Planning,Firm Fixed Price,SDVOSB,Yes,Sterling LLC,FY Q3,93.0,2.714546e+06,0.131,0.05,41.1
FCST-000552,2027,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 7,Facilities Management,Facilities Management Requirement - VISN 11 Medical Center North FY2027,1413286.38,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Precision Solutions,FY Q4,100.0,1.438568e+06,0.388,0.497,49.5
FCST-000553,2027,6,VISN 6 Medical Center South,Network Contracting Office (NCO) 3,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 6 Medical Center South FY2027,196582.99,High,Market Research,Time and Materials,Full and Open (No Set-Aside),No,,FY Q2,97.0,188126.0,0.427,0.059,39.0
FCST-000554,2026,4,VISN 4 Medical Center South,SAO East,IT Services,IT Services Requirement - VISN 4 Medical Center South FY2026,1676579.07,Medium,On Hold,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Yes,Atlas Associates,FY Q2,102.0,1.741546e+06,0.376,0.712,51.0
FCST-000555,2028,1,VISN 1 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Medical Equipment,Medical Equipment Requirement - VISN 1 Medical Center Main FY2028,149659.49,Medium,Solicitation Released,Firm Fixed Price,SDVOSB,No,,FY Q3,76.0,148179.0,0.337,0.001,24.0
FCST-000556,2028,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 14,Medical Equipment,Medical Equipment Requirement - VISN 14 Medical Center South FY2028,429051.82,Low,On Hold,Time and Materials,Full and Open (No Set-Aside),Yes,Summit Technologies,FY Q1,97.0,464279.0,0.39,0.184,42.3
FCST-000557,2028,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 16,IT Services,IT Services Requirement - VISN 12 Medical Center Main FY2028,8107590.12,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Sterling Enterprises,FY Q3,136.0,7.677785e+06,0.065,0.957,66.3
FCST-000558,2028,4,VISN 4 Medical Center Main,Network Contracting Office (NCO) 15,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 4 Medical Center Main FY2028,793963.37,Low,On Hold,Firm Fixed Price,SDVOSB,Yes,Atlas Technologies,FY Q4,81.0,782070.0,0.158,0.006,29.7
FCST-000559,2028,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 3,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center North FY2028,232153.59,Low,Market Research,Time and Materials,SDVOSB,Yes,Pinnacle Federal Services,FY Q2,77.0,233382.0,0.408,0.001,28.8
FCST-000560,2027,17,VISN 17 Medical Center Main,SAO West,Construction,Construction Requirement - VISN 17 Medical Center Main FY2027,237658.77,Medium,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q2,97.0,261973.0,0.327,0.088,37.5
FCST-000561,2026,5,VISN 5 Medical Center South,SAO West,Pharmaceuticals,Pharmaceuticals Requirement - VISN 5 Medical Center South FY2026,152281.07,Low,Market Research,Blanket Purchase Agreement (BPA),VOSB,Yes,Anchor Solutions,FY Q3,76.0,151507.0,0.153,0.0,18.9
FCST-000562,2026,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 1,IT Services,IT Services Requirement - VISN 16 Medical Center North FY2026,2251684.74,Medium,Market Research,Firm Fixed Price,SDVOSB,Yes,Sterling LLC,FY Q1,87.0,2.160006e+06,0.103,0.038,36.0
FCST-000563,2026,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 18,Construction,Construction Requirement - VISN 15 Medical Center Main FY2026,2081755.6,Low,Market Research,Firm Fixed Price,Small Business,Yes,Beacon Federal Services,FY Q2,84.0,2.075778e+06,0.146,0.033,35.8
FCST-000564,2027,17,VISN 17 Medical Center West,Network Contracting Office (NCO) 12,Food Service,Food Service Requirement - VISN 17 Medical Center West FY2027,26224.6,High,Solicitation Released,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),No,,FY Q3,98.0,28595.0,0.009,0.006,17.1
FCST-000565,2028,12,VISN 12 Medical Center Main,Strategic Acquisition Center (SAC) - Austin,Professional Services,Professional Services Requirement - VISN 12 Medical Center Main FY2028,103567.39,Medium,Draft Solicitation,Firm Fixed Price,VOSB,Yes,Beacon LLC,FY Q2,77.0,104322.0,0.329,0.0,22.3
FCST-000566,2026,1,VISN 1 Medical Center Main,Network Contracting Office (NCO) 8,Facilities Management,Facilities Management Requirement - VISN 1 Medical Center Main FY2026,267591.16,Medium,Market Research,Firm Fixed Price,SDVOSB,Yes,Guardian Technologies,FY Q3,74.0,277680.0,0.255,0.001,23.8
FCST-000567,2026,6,VISN 6 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Medical Equipment,Medical Equipment Requirement - VISN 6 Medical Center Main FY2026,503339.39,Medium,Solicitation Released,IDIQ,Full and Open (No Set-Aside),Yes,Summit Enterprises,FY Q2,97.0,544878.0,0.298,0.191,40.4
FCST-000568,2026,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 8,Medical Equipment,Medical Equipment Requirement - VISN 7 Medical Center North FY2026,860419.45,Medium,Market Research,IDIQ,VOSB,No,,FY Q2,80.0,833429.0,0.133,0.007,28.8
FCST-000569,2027,17,VISN 17 Medical Center North,Network Contracting Office (NCO) 7,IT Services,IT Services Requirement - VISN 17 Medical Center North FY2027,66979.47,Low,Planning,Time and Materials,SDVOSB,Yes,Guardian Inc.,FY Q2,81.0,68694.0,0.073,0.0,15.1
FCST-000570,2026,9,VISN 9 Medical Center East,Technology Acquisition Center (TAC),Pharmaceuticals,Pharmaceuticals Requirement - VISN 9 Medical Center East FY2026,641315.6,Medium,Planning,Time and Materials,VOSB,No,,FY Q1,76.0,628241.0,0.23,0.004,28.2
FCST-000571,2027,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 1,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 5 Medical Center North FY2027,1603002.33,Medium,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,102.0,1.548937e+06,0.498,0.593,53.8
FCST-000572,2027,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 3,IT Services,IT Services Requirement - VISN 12 Medical Center North FY2027,328806.31,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q2,99.0,350022.0,0.22,0.139,36.4
FCST-000573,2026,14,VISN 14 Medical Center North,Network Contracting Office (NCO) 16,Construction,Construction Requirement - VISN 14 Medical Center North FY2026,834393.19,Low,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,94.0,870151.0,0.15,0.399,36.8
FCST-000574,2027,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 12,Professional Services,Professional Services Requirement - VISN 18 Medical Center South FY2027,45149.89,High,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,98.0,51220.0,0.129,0.007,23.7
FCST-000575,2028,5,VISN 5 Medical Center South,SAO West,Facilities Management,Facilities Management Requirement - VISN 5 Medical Center South FY2028,242253.72,Low,Market Research,Time and Materials,Full and Open (No Set-Aside),No,,FY Q3,96.0,255573.0,0.269,0.067,35.0
FCST-000576,2026,3,VISN 3 Medical Center Main,Network Contracting Office (NCO) 4,Facilities Management,Facilities Management Requirement - VISN 3 Medical Center Main FY2026,279714.55,Low,On Hold,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),No,,FY Q4,96.0,296492.0,0.133,0.093,31.7
FCST-000577,2027,11,VISN 11 Medical Center North,SAO East,Medical Equipment,Medical Equipment Requirement - VISN 11 Medical Center North FY2027,687911.25,Critical,Solicitation Released,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,97.0,713943.0,0.305,0.298,42.0
FCST-000578,2027,3,VISN 3 Medical Center North,Network Contracting Office (NCO) 9,Professional Services,Professional Services Requirement - VISN 3 Medical Center North FY2027,711304.81,High,Planning,Cost Plus Fixed Fee,SDVOSB,Yes,Patriot Systems,FY Q3,79.0,722923.0,0.261,0.004,31.3
FCST-000579,2028,14,VISN 14 Medical Center Main,Network Contracting Office (NCO) 12,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 14 Medical Center Main FY2028,565762.46,Low,Draft Solicitation,IDIQ,SDVOSB,Yes,Sterling Systems,FY Q2,77.0,579938.0,0.301,0.003,30.6
FCST-000580,2027,8,VISN 8 Medical Center North,Technology Acquisition Center (TAC),Medical Equipment,Medical Equipment Requirement - VISN 8 Medical Center North FY2027,382185.63,Medium,Planning,Cost Plus Fixed Fee,VOSB,Yes,Atlas Group,FY Q1,75.0,387201.0,0.286,0.002,26.9
FCST-000581,2026,9,VISN 9 Medical Center South,National Acquisition Center (NAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 9 Medical Center South FY2026,576930.18,High,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Apex Partners,FY Q1,97.0,592078.0,0.343,0.232,42.2
FCST-000582,2028,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 12,Medical Equipment,Medical Equipment Requirement - VISN 12 Medical Center North FY2028,49721.44,Low,Planning,Firm Fixed Price,VOSB,No,,FY Q2,78.0,48232.0,0.082,0.0,11.9
FCST-000583,2026,6,VISN 6 Medical Center South,Network Contracting Office (NCO) 13,Pharmaceuticals,Pharmaceuticals Requirement - VISN 6 Medical Center South FY2026,2099835.48,Medium,Draft Solicitation,IDIQ,Full and Open (No Set-Aside),No,,FY Q1,106.0,2.11039e+06,0.114,0.612,46.2
FCST-000584,2028,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 17,Facilities Management,Facilities Management Requirement - VISN 9 Medical Center East FY2028,1132223.97,Critical,Draft Solicitation,Cost Plus Fixed Fee,Full and Open (No Set-Aside),No,,FY Q1,100.0,1.193839e+06,0.41,0.339,48.9
FCST-000585,2027,7,VISN 7 Medical Center North,Denver Acquisition and Logistics Center (DALC),Security Services,Security Services Requirement - VISN 7 Medical Center North FY2027,269070.22,Critical,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,99.0,292964.0,0.414,0.103,41.5
FCST-000587,2027,18,VISN 18 Medical Center North,SAO West,IT Services,IT Services Requirement - VISN 18 Medical Center North FY2027,878486.94,Medium,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Apex Federal Services,FY Q1,100.0,903488.0,0.106,0.423,38.5
FCST-000588,2026,16,VISN 16 Medical Center North,SAO West,Medical Equipment,Medical Equipment Requirement - VISN 16 Medical Center North FY2026,1577831.78,Medium,On Hold,Firm Fixed Price,SDVOSB,No,,FY Q1,80.0,1.544466e+06,0.497,0.019,42.9
FCST-000589,2027,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 8,Professional Services,Professional Services Requirement - VISN 7 Medical Center North FY2027,396105.09,Medium,Solicitation Released,Blanket Purchase Agreement (BPA),SDVOSB,Yes,Vertex Technologies,FY Q1,76.0,405446.0,0.239,0.003,26.1
FCST-000590,2027,14,VISN 14 Medical Center North,Network Contracting Office (NCO) 2,Pharmaceuticals,Pharmaceuticals Requirement - VISN 14 Medical Center North FY2027,681312.4,Low,Draft Solicitation,Time and Materials,Full and Open (No Set-Aside),Yes,Frontier LLC,FY Q4,99.0,704377.0,0.242,0.254,40.8
FCST-000591,2027,1,VISN 1 Medical Center North,Network Contracting Office (NCO) 11,Facilities Management,Facilities Management Requirement - VISN 1 Medical Center North FY2027,612029.14,High,Solicitation Released,IDIQ,SDVOSB,No,,FY Q4,76.0,600557.0,0.209,0.003,27.3
FCST-000592,2028,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 17,Professional Services,Professional Services Requirement - VISN 18 Medical Center North FY2028,333069.79,Medium,Solicitation Released,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Atlas Solutions,FY Q2,98.0,373155.0,0.342,0.131,40.1
FCST-000593,2028,8,VISN 8 Medical Center Main,National Acquisition Center (NAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 8 Medical Center Main FY2028,320568.98,Critical,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,98.0,325184.0,0.376,0.109,40.4
FCST-000594,2027,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 13,Medical Equipment,Medical Equipment Requirement - VISN 5 Medical Center North FY2027,148208.16,Medium,Solicitation Released,IDIQ,SDVOSB,No,,FY Q2,76.0,142554.0,0.339,0.0,24.1
FCST-000595,2027,8,VISN 8 Medical Center North,Technology Acquisition Center (TAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 8 Medical Center North FY2027,797637.38,Low,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,95.0,792426.0,0.215,0.333,38.8
FCST-000596,2027,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 13,IT Services,IT Services Requirement - VISN 11 Medical Center Main FY2027,304280.61,Low,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Legacy Federal Services,FY Q1,98.0,323486.0,0.219,0.125,35.7
FCST-000597,2027,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 13,IT Services,IT Services Requirement - VISN 5 Medical Center South FY2027,302588.45,High,Solicitation Released,Cost Plus Fixed Fee,VOSB,Yes,Anchor Federal Services,FY Q4,75.0,329712.0,0.192,0.001,23.4
FCST-000598,2026,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 9,Facilities Management,Facilities Management Requirement - VISN 15 Medical Center North FY2026,172734.85,Low,Draft Solicitation,Labor Hour,Full and Open (No Set-Aside),Yes,Sterling Systems,FY Q1,95.0,167915.0,0.204,0.055,30.3
FCST-000599,2027,12,VISN 12 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Professional Services,Professional Services Requirement - VISN 12 Medical Center Main FY2027,239613.48,Critical,Solicitation Released,Firm Fixed Price,SDVOSB,No,,FY Q3,76.0,243749.0,0.344,0.001,26.8
FCST-000600,2027,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 18,IT Services,IT Services Requirement - VISN 5 Medical Center North FY2027,603202.23,Low,Solicitation Released,Labor Hour,Full and Open (No Set-Aside),Yes,Vertex Enterprises,FY Q1,98.0,624072.0,0.2,0.38,38.4
FCST-000601,2028,5,VISN 5 Medical Center South,SAO East,Facilities Management,Facilities Management Requirement - VISN 5 Medical Center South FY2028,215847.7,Medium,Solicitation Released,Firm Fixed Price,SDVOSB,Yes,Vertex Technologies,FY Q1,75.0,212691.0,0.281,0.001,23.4
FCST-000602,2027,3,VISN 3 Medical Center South,Network Contracting Office (NCO) 18,Medical Equipment,Medical Equipment Requirement - VISN 3 Medical Center South FY2027,720614.77,Medium,Draft Solicitation,Time and Materials,8(a),Yes,Precision Consulting,FY Q2,78.0,707792.0,0.308,0.006,32.2
FCST-000603,2027,1,VISN 1 Medical Center Main,SAO East,Facilities Management,Facilities Management Requirement - VISN 1 Medical Center Main FY2027,256559.6,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Meridian Technologies,FY Q1,96.0,266172.0,0.224,0.067,33.7
FCST-000604,2027,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 3,Pharmaceuticals,Pharmaceuticals Requirement - VISN 13 Medical Center North FY2027,5471372.74,Medium,Market Research,IDIQ,Small Business,Yes,Pinnacle LLC,FY Q4,110.0,5.352194e+06,0.037,0.08,50.3
FCST-000605,2028,2,VISN 2 Medical Center Main,SAO East,Pharmaceuticals,Pharmaceuticals Requirement - VISN 2 Medical Center Main FY2028,218721.45,Medium,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,98.0,217396.0,0.312,0.051,36.4
FCST-000606,2026,3,VISN 3 Medical Center Main,SAO West,IT Services,IT Services Requirement - VISN 3 Medical Center Main FY2026,231920.22,Low,Solicitation Released,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,98.0,253142.0,0.3,0.086,37.0
FCST-000607,2027,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 4,Facilities Management,Facilities Management Requirement - VISN 10 Medical Center North FY2027,211960.44,Medium,Market Research,Firm Fixed Price,SDVOSB,Yes,Frontier Inc.,FY Q4,75.0,210865.0,0.281,0.001,23.6
FCST-000608,2026,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 12,Professional Services,Professional Services Requirement - VISN 7 Medical Center Main FY2026,167655.62,High,Draft Solicitation,Firm Fixed Price,Small Business,No,,FY Q4,76.0,170641.0,0.336,0.001,24.8
FCST-000609,2027,10,VISN 10 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 10 Medical Center Main FY2027,1471314.18,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,102.0,1.458557e+06,0.498,0.561,53.5
FCST-000610,2026,6,VISN 6 Medical Center North,Technology Acquisition Center (TAC),Pharmaceuticals,Pharmaceuticals Requirement - VISN 6 Medical Center North FY2026,720608.1,Low,Market Research,Time and Materials,SDVOSB,No,,FY Q3,79.0,704976.0,0.227,0.005,30.0
FCST-000611,2028,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 16,IT Services,IT Services Requirement - VISN 5 Medical Center South FY2028,2058624.66,High,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Precision LLC,FY Q2,106.0,2.14555e+06,0.127,0.731,46.5
FCST-000612,2027,2,VISN 2 Medical Center North,SAO East,Professional Services,Professional Services Requirement - VISN 2 Medical Center North FY2027,56595.06,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,99.0,56096.0,0.129,0.01,24.8
FCST-000613,2026,14,VISN 14 Medical Center North,Network Contracting Office (NCO) 2,IT Services,IT Services Requirement - VISN 14 Medical Center North FY2026,88869.3,High,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Cornerstone Enterprises,FY Q1,100.0,94386.0,0.343,0.021,34.4
FCST-000614,2028,1,VISN 1 Medical Center North,Network Contracting Office (NCO) 7,Facilities Management,Facilities Management Requirement - VISN 1 Medical Center North FY2028,208109.77,Low,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,97.0,226765.0,0.241,0.049,34.3
FCST-000615,2027,17,VISN 17 Medical Center Main,Network Contracting Office (NCO) 12,Professional Services,Professional Services Requirement - VISN 17 Medical Center Main FY2027,370439.71,Low,Market Research,Firm Fixed Price,WOSB,Yes,Legacy Technologies,FY Q1,75.0,371441.0,0.111,0.002,21.4
FCST-000616,2026,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 8,Food Service,Food Service Requirement - VISN 13 Medical Center North FY2026,461136.62,Critical,Draft Solicitation,Firm Fixed Price,SDVOSB,No,,FY Q4,76.0,481849.0,0.204,0.005,26.2
FCST-000617,2028,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 12,IT Services,IT Services Requirement - VISN 11 Medical Center Main FY2028,34309.12,Low,Draft Solicitation,Blanket Purchase Agreement (BPA),VOSB,Yes,Horizon Partners,FY Q2,80.0,36585.0,0.033,0.0,10.0
FCST-000618,2028,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 16,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center North FY2028,709432.72,Medium,Draft Solicitation,IDIQ,Full and Open (No Set-Aside),No,,FY Q3,99.0,726020.0,0.323,0.272,43.4
FCST-000620,2026,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 16,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 12 Medical Center North FY2026,417228.32,Low,Solicitation Released,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Sterling Consulting,FY Q2,97.0,457409.0,0.371,0.155,41.6
FCST-000621,2027,4,VISN 4 Medical Center South,Denver Acquisition and Logistics Center (DALC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 4 Medical Center South FY2027,241585.34,Low,Market Research,Firm Fixed Price,SDVOSB,Yes,Atlas Solutions,FY Q2,76.0,236435.0,0.388,0.001,28.2
FCST-000622,2027,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 17,Security Services,Security Services Requirement - VISN 13 Medical Center North FY2027,1386978.84,Medium,Market Research,Firm Fixed Price,Small Business,Yes,Legacy Solutions,FY Q2,81.0,1.422843e+06,0.315,0.018,37.2
FCST-000623,2028,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 11,Professional Services,Professional Services Requirement - VISN 13 Medical Center Main FY2028,157452.09,Medium,Draft Solicitation,Firm Fixed Price,SDVOSB,No,,FY Q1,76.0,152357.0,0.334,0.001,24.3
FCST-000624,2027,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 10,Construction,Construction Requirement - VISN 18 Medical Center North FY2027,1185677.64,Medium,Planning,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Frontier Inc.,FY Q3,100.0,1.21975e+06,0.31,0.454,46.3
FCST-000625,2027,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 4,IT Services,IT Services Requirement - VISN 7 Medical Center Main FY2027,261231.47,High,Market Research,Cost Plus Fixed Fee,Full and Open (No Set-Aside),No,,FY Q1,98.0,286076.0,0.241,0.076,35.9
FCST-000626,2027,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 10,Pharmaceuticals,Pharmaceuticals Requirement - VISN 2 Medical Center North FY2027,1423196.03,High,Solicitation Released,Blanket Purchase Agreement (BPA),SDVOSB,Yes,Liberty Partners,FY Q2,81.0,1.436552e+06,0.257,0.015,35.8
FCST-000627,2027,17,VISN 17 Medical Center East,Technology Acquisition Center (TAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 17 Medical Center East FY2027,517717.22,Critical,Market Research,Blanket Purchase Agreement (BPA),SDVOSB,Yes,Precision Solutions,FY Q4,77.0,516209.0,0.263,0.004,28.4
FCST-000628,2026,16,VISN 16 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 16 Medical Center Main FY2026,1029617.64,Medium,Market Research,Firm Fixed Price,8(a),Yes,Precision Partners,FY Q2,82.0,1.025036e+06,0.494,0.009,41.5
FCST-000629,2027,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 1,Food Service,Food Service Requirement - VISN 5 Medical Center South FY2027,478326.17,Low,Market Research,Firm Fixed Price,Small Business,Yes,Cornerstone Consulting,FY Q3,76.0,492118.0,0.202,0.006,26.2
FCST-000630,2028,6,VISN 6 Medical Center North,Network Contracting Office (NCO) 5,Security Services,Security Services Requirement - VISN 6 Medical Center North FY2028,129038.14,Medium,Market Research,Cost Plus Fixed Fee,Small Business,Yes,Apex LLC,FY Q2,76.0,125171.0,0.237,0.0,20.5
FCST-000631,2027,2,VISN 2 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 2 Medical Center North FY2027,2019450.47,High,Solicitation Released,Blanket Purchase Agreement (BPA),SDVOSB,Yes,Pinnacle Federal Services,FY Q3,84.0,1.805601e+06,0.182,0.032,36.2
FCST-000632,2028,15,VISN 15 Medical Center North,Technology Acquisition Center (TAC),IT Services,IT Services Requirement - VISN 15 Medical Center North FY2028,1068101.46,High,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Pinnacle Technologies,FY Q4,101.0,1.112839e+06,0.2,0.497,42.7
FCST-000633,2027,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 16,Construction,Construction Requirement - VISN 7 Medical Center Main FY2027,2615295.62,Medium,On Hold,IDIQ,SDVOSB,Yes,Legacy Inc.,FY Q2,93.0,2.557359e+06,0.161,0.042,41.7
FCST-000634,2027,5,VISN 5 Medical Center Main,Network Contracting Office (NCO) 5,Facilities Management,Facilities Management Requirement - VISN 5 Medical Center Main FY2027,1350579.71,Low,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,100.0,1.379115e+06,0.406,0.48,49.8
FCST-000635,2026,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 2,Construction,Construction Requirement - VISN 14 Medical Center South FY2026,1648614.27,Low,Solicitation Released,Time and Materials,Full and Open (No Set-Aside),No,,FY Q2,101.0,1.657258e+06,0.377,0.675,50.5
FCST-000636,2027,5,VISN 5 Medical Center Main,Network Contracting Office (NCO) 5,Medical Equipment,Medical Equipment Requirement - VISN 5 Medical Center Main FY2027,255183.05,Medium,Planning,Firm Fixed Price,WOSB,Yes,Legacy Federal Services,FY Q2,75.0,245175.0,0.135,0.001,20.0
FCST-000637,2027,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 4,Professional Services,Professional Services Requirement - VISN 8 Medical Center North FY2027,751319.95,Low,Draft Solicitation,Firm Fixed Price,8(a),No,,FY Q1,79.0,769655.0,0.332,0.007,33.9
FCST-000638,2027,17,VISN 17 Medical Center Main,Network Contracting Office (NCO) 16,Professional Services,Professional Services Requirement - VISN 17 Medical Center Main FY2027,193241.31,Critical,On Hold,Time and Materials,Full and Open (No Set-Aside),Yes,Anchor Industries,FY Q3,97.0,189741.0,0.441,0.067,39.3
FCST-000639,2026,4,VISN 4 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 4 Medical Center North FY2026,839000.11,High,On Hold,IDIQ,Full and Open (No Set-Aside),Yes,Sterling Consulting,FY Q3,95.0,834989.0,0.2,0.326,38.6
FCST-000640,2026,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 5,IT Services,IT Services Requirement - VISN 8 Medical Center Main FY2026,3371328.06,High,Market Research,Firm Fixed Price,8(a),Yes,Legacy Group,FY Q4,96.0,3.381324e+06,0.101,0.068,42.8
FCST-000641,2026,17,VISN 17 Medical Center South,Network Contracting Office (NCO) 11,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 17 Medical Center South FY2026,185601.55,Medium,Planning,IDIQ,WOSB,Yes,Cornerstone Partners,FY Q3,76.0,184229.0,0.154,0.001,19.8
FCST-000642,2027,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 14,Pharmaceuticals,Pharmaceuticals Requirement - VISN 5 Medical Center South FY2027,503616.55,Low,Draft Solicitation,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Yes,Apex Technologies,FY Q1,98.0,545558.0,0.177,0.197,37.0
